,distance_group,treatment,well,well_mean,well_se,well_n,,,,,,,,,,,,,,,
1,<= 3,FRED,LEFT_A1,23.99928571,0.010117732,42,17,03-Dec,FRED,LEFT_A1,23.9964977,0.005861406,217,33,> 12,FRED,LEFT_A1,24.01411995,0.005548962,767,
2,<= 3,FRED,LEFT_A4,23.93952381,0.037893813,21,18,03-Dec,FRED,LEFT_A4,24.04469565,0.022795252,115,34,> 12,FRED,LEFT_A4,24.00509849,0.005986649,863,
3,<= 3,FRED,LEFT_B1,23.64676056,0.068146732,142,19,03-Dec,FRED,LEFT_B1,23.63659459,0.03440319,370,35,> 12,FRED,LEFT_B1,23.67726829,0.035663577,205,
4,<= 3,FRED,LEFT_B4,23.45434783,0.095317297,115,20,03-Dec,FRED,LEFT_B4,23.43976546,0.043369952,469,36,> 12,FRED,LEFT_B4,23.2688785,0.038769814,428,
5,<= 3,FRED,LEFT_C3,23.79654321,0.049157874,243,21,03-Dec,FRED,LEFT_C3,23.66989362,0.047031602,376,37,> 12,FRED,LEFT_C3,23.73052632,0.122337412,57,
6,<= 3,FRED,LEFT_D3,23.88208,0.048545994,125,22,03-Dec,FRED,LEFT_D3,23.84211538,0.013193623,416,38,> 12,FRED,LEFT_D3,23.82543779,0.015227224,434,
7,<= 3,FRED,RIGHT_B1,23.85864407,0.030659825,118,23,03-Dec,FRED,RIGHT_B1,23.89374026,0.008041346,385,39,> 12,FRED,RIGHT_B1,23.87863118,0.002583121,526,
8,<= 3,FRED,RIGHT_B4,23.89166667,0.05758881,72,24,03-Dec,FRED,RIGHT_B4,24.0168662,0.014863348,284,40,> 12,FRED,RIGHT_B4,24.0222164,0.002639975,573,
9,<= 3,FRED,RIGHT_C1,23.81888525,0.012712228,305,25,03-Dec,FRED,RIGHT_C1,23.83736318,0.011908129,201,,,,,,,,
10,<= 3,MUT,LEFT_A6,23.40130435,0.058887109,46,26,03-Dec,MUT,LEFT_A6,23.44915493,0.021214377,213,41,> 12,MUT,LEFT_A6,23.33711039,0.013327088,616,
11,<= 3,MUT,LEFT_B3,22.64930851,0.123687237,188,27,03-Dec,MUT,LEFT_B3,23.03336207,0.092547739,232,42,> 12,MUT,LEFT_B3,23.24379464,0.06486988,224,
12,<= 3,MUT,LEFT_C2,23.67923077,0.035471072,286,28,03-Dec,MUT,LEFT_C2,23.67635338,0.022397372,532,43,> 12,MUT,LEFT_C2,23.70876254,0.018243636,299,
13,<= 3,MUT,LEFT_D2,23.41851852,0.104924177,108,29,03-Dec,MUT,LEFT_D2,23.55466165,0.030094951,266,44,> 12,MUT,LEFT_D2,23.51401544,0.018030692,259,
14,<= 3,MUT,LEFT_D5,23.565,0.368112508,12,30,03-Dec,MUT,LEFT_D5,23.05310811,0.139383251,74,45,> 12,MUT,LEFT_D5,22.90122,0.045393896,500,
15,<= 3,MUT,RIGHT_B3,24.06724138,0.074640182,29,31,03-Dec,MUT,RIGHT_B3,24.13013158,0.040341304,76,46,> 12,MUT,RIGHT_B3,23.96740127,0.005790817,785,
16,<= 3,MUT,RIGHT_B6,22.85302632,0.134943786,76,32,03-Dec,MUT,RIGHT_B6,23.09222222,0.047605193,279,47,> 12,MUT,RIGHT_B6,23.28864143,0.022648285,449,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,23.99928571,0.010117732,42,23.9964977,0.005861406,217,24.01411995,0.005548962,767,23.40130435,0.058887109,46,23.44915493,0.021214377,213,23.33711039,0.013327088,616
,,,,23.93952381,0.037893813,21,24.04469565,0.022795252,115,24.00509849,0.005986649,863,22.64930851,0.123687237,188,23.03336207,0.092547739,232,23.24379464,0.06486988,224
,,,,23.64676056,0.068146732,142,23.63659459,0.03440319,370,23.67726829,0.035663577,205,23.67923077,0.035471072,286,23.67635338,0.022397372,532,23.70876254,0.018243636,299
,,,,23.45434783,0.095317297,115,23.43976546,0.043369952,469,23.2688785,0.038769814,428,23.41851852,0.104924177,108,23.55466165,0.030094951,266,23.51401544,0.018030692,259
,,,,23.79654321,0.049157874,243,23.66989362,0.047031602,376,23.73052632,0.122337412,57,23.565,0.368112508,12,23.05310811,0.139383251,74,22.90122,0.045393896,500
,,,,23.88208,0.048545994,125,23.84211538,0.013193623,416,23.82543779,0.015227224,434,24.06724138,0.074640182,29,24.13013158,0.040341304,76,23.96740127,0.005790817,785
,,,,23.85864407,0.030659825,118,23.89374026,0.008041346,385,23.87863118,0.002583121,526,22.85302632,0.134943786,76,23.09222222,0.047605193,279,23.28864143,0.022648285,449
,,,,23.89166667,0.05758881,72,24.0168662,0.014863348,284,24.0222164,0.002639975,573,,,,,,,,,
,,,,23.81888525,0.012712228,305,23.83736318,0.011908129,201,,,,,,,,,,,,
